trimestre,codice,materia,sul_portale,nuovi_scaricati,gia_locali,gia_sgai,pagine_elaborate,stato
Q2 apr-giu,B110,Radiodiffusioni,,0,0,0,0,crash / no ricerca
Q2 apr-giu,D080,Rapporti con l'AF,,0,0,0,0,crash / no ricerca
Q2 apr-giu,B020,Registro,,0,0,0,0,crash / no ricerca
Q2 apr-giu,D030,Rimborsi,,0,0,0,0,crash / no ricerca
Q2 apr-giu,D020,Riscossione,,0,0,0,0,crash / no ricerca
Q2 apr-giu,H020,Servizi estimativi (OMI),,0,0,0,0,crash / no ricerca
Q2 apr-giu,B040,Successioni e donazioni,,0,0,0,0,crash / no ricerca
Q2 apr-giu,C040,Tarsu,,0,0,0,0,crash / no ricerca
Q2 apr-giu,B080,Tassa sui contratti di borsa,,0,0,0,0,crash / no ricerca
Q2 apr-giu,B100,Tasse automobilistiche,,0,0,0,0,crash / no ricerca
Q2 apr-giu,C060,Tosap,,0,0,0,0,crash / no ricerca
Q2 apr-giu,C090,Tributi locali vari,,0,0,0,0,crash / no ricerca
Q2 apr-giu,D050,Violazioni e sanzioni,,0,0,0,0,crash / no ricerca
Q3 lug-set,D040,Accertamento imposte,,0,0,0,0,crash / no ricerca
Q3 lug-set,E020,Accise armonizzate - Alcole,,0,0,0,0,crash / no ricerca
Q3 lug-set,E010,Accise armonizzate - Prodotti energetici,,0,0,0,0,crash / no ricerca
Q3 lug-set,E030,Accise non armonizzate,,0,0,0,0,crash / no ricerca
Q3 lug-set,D010,Agevolazioni,,0,0,0,0,crash / no ricerca
Q3 lug-set,B050,Bollo,,0,0,0,0,crash / no ricerca
Q3 lug-set,H010,Catasto,,0,0,0,0,crash / no ricerca
Q3 lug-set,B060,Concessioni governative,,0,0,0,0,crash / no ricerca
Q3 lug-set,D070,Condono,,0,0,0,0,crash / no ricerca
Q3 lug-set,D060,Contenzioso,,0,0,0,0,crash / no ricerca
Q3 lug-set,C050,Cosap,,0,0,0,0,crash / no ricerca
Q3 lug-set,G010,Demanio,,0,0,0,0,crash / no ricerca
Q3 lug-set,B140,Diritti e tributi indiretti vari,,0,0,0,0,crash / no ricerca
Q3 lug-set,F010,Dogane,,0,0,0,0,crash / no ricerca
Q3 lug-set,C080,Iciap,,0,0,0,0,crash / no ricerca
Q3 lug-set,A030,Ilor,,0,0,0,0,crash / no ricerca
