numero,anno,pagina,doc,categoria,hint,azione
33365,2025,68,2,SCONOSCIUTO,Nessun CGT rilevato nel testo OCR,"Override manuale: 33365,2025,CGT ... in corte_override.csv"
33368,2025,67,9,RIFERIMENTO_MANCANTE,Cita Cass. n.7090/2022 assente su italgiure,"Override manuale: 33368,2025,CGT ... in corte_override.csv"
33327,2025,69,9,OCR_PARZIALE,Testo CGT presente ma pattern non riconosciuto,"Override manuale: 33327,2025,CGT ... in corte_override.csv"
33326,2025,69,10,OCR_PARZIALE,Testo CGT presente ma pattern non riconosciuto,"Override manuale: 33326,2025,CGT ... in corte_override.csv"
33264,2025,73,9,OCR_PARZIALE,Testo CGT presente ma pattern non riconosciuto,"Override manuale: 33264,2025,CGT ... in corte_override.csv"
33207,2025,76,5,OCR_PARZIALE,Testo CGT presente ma pattern non riconosciuto,"Override manuale: 33207,2025,CGT ... in corte_override.csv"
33126,2025,80,8,OCR_PARZIALE,Testo CGT presente ma pattern non riconosciuto,"Override manuale: 33126,2025,CGT ... in corte_override.csv"
32916,2025,86,5,OCR_PARZIALE,Testo CGT presente ma pattern non riconosciuto,"Override manuale: 32916,2025,CGT ... in corte_override.csv"
32861,2025,89,3,OCR_PARZIALE,Testo CGT presente ma pattern non riconosciuto,"Override manuale: 32861,2025,CGT ... in corte_override.csv"
32843,2025,90,7,OCR_PARZIALE,Testo CGT presente ma pattern non riconosciuto,"Override manuale: 32843,2025,CGT ... in corte_override.csv"
32758,2025,95,6,OCR_PARZIALE,Testo CGT presente ma pattern non riconosciuto,"Override manuale: 32758,2025,CGT ... in corte_override.csv"
32567,2025,100,9,OCR_PARZIALE,Testo CGT presente ma pattern non riconosciuto,"Override manuale: 32567,2025,CGT ... in corte_override.csv"
32425,2025,106,2,SCONOSCIUTO,Nessun CGT rilevato nel testo OCR,"Override manuale: 32425,2025,CGT ... in corte_override.csv"
32398,2025,106,6,OCR_PARZIALE,Testo CGT presente ma pattern non riconosciuto,"Override manuale: 32398,2025,CGT ... in corte_override.csv"
32325,2025,111,2,SCONOSCIUTO,Nessun CGT rilevato nel testo OCR,"Override manuale: 32325,2025,CGT ... in corte_override.csv"
32334,2025,110,6,OCR_PARZIALE,Testo CGT presente ma pattern non riconosciuto,"Override manuale: 32334,2025,CGT ... in corte_override.csv"
32324,2025,111,3,RIFERIMENTO_MANCANTE,Cita Cass. n.9421/2023 assente su italgiure,"Override manuale: 32324,2025,CGT ... in corte_override.csv"
32329,2025,110,9,RIFERIMENTO_MANCANTE,Cita Cass. n.16077/2023 assente su italgiure,"Override manuale: 32329,2025,CGT ... in corte_override.csv"
32327,2025,110,10,SCONOSCIUTO,Nessun CGT rilevato nel testo OCR,"Override manuale: 32327,2025,CGT ... in corte_override.csv"
32304,2025,112,6,OCR_PARZIALE,Testo CGT presente ma pattern non riconosciuto,"Override manuale: 32304,2025,CGT ... in corte_override.csv"
